Nome da Empresa,Telefone
AS Embalagens Ltda,(11) 4055-1415
Diadema Triaço,(11) 3538-0377
ALLPRINT LATINA,(11) 95929-4050
Tryl Indústria Comércio LTDA,(11) 4056-2637
BRX COMÉRCIO DE POSTES,(11) 4056-7871
SULFIX INDÚSTRIA E COMÉRCIO LTDA.,(11) 4056-2020
Guiplastic,(11) 4048-2143
TTB Indústria e Comércio de Produtos Metálicos,(11) 3215-4700
Sigma Tratamento de Águas Ltda.,(11) 4047-1926
Chamaster Indústria e Comércio,(11) 91443-6663
Tavi Máquinas,(11) 4066-9000
Embalagens Flexíveis Diadema S.A.,(11) 4056-6233
Microcast Indústria Com,(11) 4075-9999
"Industrial Flow South America (LEWA, Varisco, Wangen, Pomac, CPC Pumps, Kracht)",(11) 4053-5987
FastLimpo Distribuidora,(11) 4048-2143
Guiplastic,(11) 2311-6076
Oerlikon Friction Systems do Brasil Ltda.,(11) 3296-8550
Dakhia - Plásticos de Engenharia,(11) 4066-9000
Embalagens Flexíveis Diadema S.A.,(11) 3458-0542
MAX FORNOS INDUSTRIAIS E RESISTÊNCIAS ELÉTRICAS LTDA,(11) 99825-6582
Rush Automações,(11) 99191-9234
ATTITUDE INDUSTRIA E COMERCIO DE PRODUTOS PLASTICOS LTDA,(11) 4071-6822
Tigher Pack Embalagens Plásticas,(11) 4069-6566
Criaforma,(11) 4075-0577
Interfiltros,(11) 4043-3202
Rebarba Brilho,(11) 4056-6265
Sigma Tratamento de Águas Ltda.,(11) 5461-1061
Fusiontec - Automação Industrial,(11) 4071-1782
QualyPrint Embalagens Flexíveis,(11) 2670-2793
Verpack Representações,(11) 4092-3466
ADN Indústria e Comércio de Plásticos,(11) 4055-3711
Trigopol Indústria e Comércio de Plásticos,(11) 94216-3896
Diadema,(11) 99992-8846
Replastick - Moagem e Granulação de Plástico Pós Industria e Engenharia - Diadema,(11) 98674-0040
Gunnebo Industries - The Crosby Group,(11) 4056-5557
AD Mac Indústria e Comércio Ltda.,(11) 4054-2391
Breathe Equipamentos,(11) 99888-8220
AMPERFLEX Condutores Elétricos,(11) 4092-7722
Haenke Tubos Flexíveis e Juntas de Expansão Metálicas,(11) 99115-3919
"Rua Tupiniquins, 61",(11) 4056-6233
Microcast Indústria Com,(11) 4066-9300
Polistampo Indústria Metalúrgica,(11) 4061-6435
Lipson Cosméticos Ltda.,(11) 4680-3606
Betamag,(11) 99018-5532
Alberto Representações,(11) 4055-0072
Advento Brasil Indústria Comércio Plásticos,(11) 4075-9500
Startec Tecnologia em Automação,(11) 4043-4151
Krones do Brasil Ltda.,(11) 4057-9500
Bilsing Automation do Brasil,(11) 4044-1896
Produflex Indústria de Borrachas,(11) 4071-3233
Irmãos Basso,(11) 4056-6555
JPX Equipamentos Industriais - Trocadores de Calor - Manutenção - reforma,(11) 4057-1876
Engeplastic,(11) 94815-8455
Envio Certo,(11) 4044-4490
Busway Engenharia e Instalação,(11) 2375-3995
STRAC - Serviços Técnicos em Refrigeração e Ar Condicionado,(11) 4070-5922
Sensor Technology,(11) 4044-3213
Produtos Ortopédicos Chantal Ltda,(11) 5562-8866
"LUCATON INDÚSTRIA DE EQUIPAMENTOS PARA AR CONDICIONADO, VENTILAÇÃO E EXAUSTÃO E TRATAMENTO DE AR",(11) 4066-4748
"ESA - Motor eletrico WEG, montagem painel eletrico, bombas submersiveis Sulzer, redutor, motorredutor, inversor inversor WEG",(11) 95820-9024
Rikal Suprimentos Industriais - Diadema,(11) 4044-7975
TKL Usinagem,(11) 2391-1236
